日志文件创建的时间  2017/9/21 19:21:40
2017/9/21 19:21:40--世界的起点
2017/9/21 19:21:40--19:21:36.808-1: Init lua state cost: 0.1220522
2017/9/21 19:21:40--19:21:37.119-1: Register lua type cost time: 0.2906125
2017/9/21 19:21:40--Initialize OK!!!
2017/9/21 19:21:40--19:21:37.331-3: LuaState start
2017/9/21 19:21:40--19:21:37.336-3: [tolua.lua:11]:ver20100 jit:     true    SSE2    SSE3    SSE4.1    fold    cse    dce    fwd    dse    narrow    loop    abc    sink    fuse
2017/9/21 19:21:40--19:21:37.338-3: [tolua.lua:12]:os: Windows, arch: x64
2017/9/21 19:21:40--HelloWorld
2017/9/21 19:21:40--!!!!TryConnectNetWork!!!!
2017/9/21 19:21:40--向服务器发送消息:asdf
2017/9/21 19:21:40--CtrlManager.Init----->>>
2017/9/21 19:21:40--OnPoolPushElement--->>>LuaFramework.TestObjectClass
2017/9/21 19:21:40--OnPoolGetElement--->>>LuaFramework.TestObjectClass
2017/9/21 19:21:40--19:21:37.419-3: TestObjectClass--->>>name=abcd value1=100 = value2=200
2017/9/21 19:21:40--TestGameObject--->>>TestGameObject_01 (UnityEngine.GameObject)
2017/9/21 19:21:40--19:21:37.433-3: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.450-4: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.467-5: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.484-6: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.500-7: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.517-8: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.534-9: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.551-10: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.566-11: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.583-12: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.600-13: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.616-14: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.633-15: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.649-16: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.666-17: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.682-18: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.699-19: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.715-20: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.732-21: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.749-22: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.765-23: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.782-24: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.798-25: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.815-26: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.831-27: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.848-28: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.865-29: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.881-30: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.898-31: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.914-32: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.931-33: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.947-34: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.964-35: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.980-36: Lua stack top is 1
2017/9/21 19:21:40--19:21:37.997-37: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.14-38: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.30-39: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.47-40: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.63-41: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.80-42: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.96-43: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.113-44: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.130-45: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.146-46: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.163-47: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.179-48: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.196-49: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.212-50: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.229-51: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.246-52: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.262-53: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.279-54: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.295-55: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.312-56: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.328-57: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.345-58: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.362-59: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.378-60: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.395-61: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.411-62: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.428-63: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.444-64: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.461-65: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.478-66: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.494-67: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.511-68: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.527-69: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.544-70: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.560-71: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.577-72: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.593-73: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.610-74: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.627-75: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.643-76: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.660-77: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.676-78: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.693-79: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.709-80: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.726-81: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.743-82: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.759-83: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.776-84: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.792-85: Lua stack top is 1
